"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001543","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001543","MR Egger",28,0.0136722434616895,0.0200509391869289,0.50134734258252,-0.0256275973446912,0.0529720842680702,1.01376613600157,0.974698002153884,1.05440021035489
"ebi-a-GCST90001543","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001543","Weighted median",28,0.0305928506806701,0.0223660125378016,0.171366026290181,-0.013244533893421,0.0744302352547613,1.03106562074908,0.98684278900346,1.07727018542055
"ebi-a-GCST90001544","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001544","Inverse variance weighted",20,0.0223965392056635,0.0188016326765093,0.233574362273477,-0.0144546608402946,0.0592477392516216,1.02264922458987,0.985649306230637,1.06103806895953
"ebi-a-GCST90001544","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001544","MR Egger",20,0.00841603823730634,0.0293347889545054,0.777468206300986,-0.0490801481135242,0.0659122245881369,1.00845155264741,0.952104817235417,1.0681329572409
"ebi-a-GCST90001544","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001544","Weighted median",20,0.0428701865744773,0.0260077443244115,0.0992783369972123,-0.00810499230136923,0.0938453654503239,1.04380238649204,0.991927764590873,1.09838988375919
"ebi-a-GCST90001545","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001545","Inverse variance weighted",11,0.0202563797415519,0.0299374164782113,0.498644436307479,-0.0384209565557422,0.078933716038846,1.02046293251472,0.962307765853961,1.08213259165838
"ebi-a-GCST90001545","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001545","MR Egger",11,0.0281546781281742,0.0551126088712661,0.621745691041516,-0.0798660352595073,0.136175391515856,1.0285547670439,0.923240019712172,1.14588285410174
"ebi-a-GCST90001545","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001545","Weighted median",11,0.000412725457445746,0.0409111641885325,0.99195081119988,-0.0797731563520779,0.0805986072669694,1.00041281064032,0.923325773218782,1.0839357253121
"ebi-a-GCST90001546","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001546","Inverse variance weighted",21,-0.00760544066266207,0.0275880082366605,0.782794455444853,-0.0616779368065166,0.0464670554811925,0.992423407520465,0.940185637224878,1.04756356702241
"ebi-a-GCST90001546","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001546","MR Egger",21,-0.00110668426435316,0.0593601758211342,0.985319854365813,-0.117452628873776,0.11523926034507,0.998893927884838,0.889182632331503,1.12214188951141
"ebi-a-GCST90001546","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001546","Weighted median",21,0.030117724894821,0.039580010984454,0.446697261841351,-0.0474590966347089,0.107694546424351,1.03057585124604,0.953649479807901,1.11370750748528
"ebi-a-GCST90001547","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001547","Inverse variance weighted",26,0.00772128522722826,0.0150896939333356,0.608866142517775,-0.0218545148821096,0.0372970853365661,1.00775117121991,0.978382564800311,1.03800135001628
"ebi-a-GCST90001547","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001547","MR Egger",26,0.008695821353159,0.018644099212521,0.645126923066373,-0.0278466131033822,0.0452382558097002,1.00873373983876,0.972537529874676,1.04627711181513
"ebi-a-GCST90001547","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001547","Weighted median",26,-0.00914764765853578,0.0218501978329807,0.675469856983858,-0.0519740354111779,0.0336787400941063,0.990894064783168,0.949353516096577,1.03425228955767
"ebi-a-GCST90001548","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001548","Inverse variance weighted",25,0.0307521674295216,0.0259155380414548,0.235373406470839,-0.0200422871317299,0.0815466219907731,1.03122989985749,0.98015722439272,1.08496379957713
"ebi-a-GCST90001548","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001548","MR Egger",25,0.0603165063325518,0.0451444025838246,0.194593267978125,-0.0281665227317445,0.148799535396848,1.06217267772749,0.97222645551542,1.16044033867879
"ebi-a-GCST90001548","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001548","Weighted median",25,0.0448347324635693,0.0391925970221254,0.252640552250875,-0.0319827576997964,0.121652222626935,1.04585499974575,0.968523281504403,1.12936126718004
"ebi-a-GCST90001549","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001549","Inverse variance weighted",31,0.0151117387443008,0.0230755908804632,0.512545135502316,-0.0301164193814071,0.0603398968700087,1.01522649841224,0.970332561456001,1.06219752280787
"ebi-a-GCST90001549","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001549","MR Egger",31,0.0467661207343806,0.0488218533352723,0.346034872623695,-0.0489247118027532,0.142456953271514,1.04787690373754,0.95225282039791,1.15310344255818
"ebi-a-GCST90001549","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001549","Weighted median",31,0.0331466468733356,0.0324494924465529,0.307025046681153,-0.0304543583219081,0.0967476520685794,1.03370211731027,0.970004703699321,1.10158235651501
"ebi-a-GCST90001550","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001550","Inverse variance weighted",22,-0.0174896721717719,0.0265864416076818,0.510639802064573,-0.0695990977228281,0.0346197533792844,0.982662384380978,0.93276769364998,1.03522599276435
"ebi-a-GCST90001550","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001550","MR Egger",22,0.00372498709827858,0.0524799101183811,0.944119203260757,-0.0991356367337484,0.106585610930306,1.00373193348511,0.90561986437226,1.11247316223137
"ebi-a-GCST90001550","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001550","Weighted median",22,-0.0120747720709644,0.0365611146987818,0.741201482194179,-0.0837345568805767,0.0595850127386478,0.987997835455716,0.91967534519029,1.06139598932404
"ebi-a-GCST90001551","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001551","Inverse variance weighted",28,-0.000869550219382032,0.00425455615519803,0.83805581742546,-0.00920848028357018,0.00746937984480611,0.999130827729853,0.990833787929495,1.00749734524715
"ebi-a-GCST90001551","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001551","MR Egger",28,-0.000190142915307628,0.0044095417557707,0.965934707206475,-0.0088328447566182,0.00845255892600295,0.999809875160711,0.991206050214638,1.00848838266515
"ebi-a-GCST90001551","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001551","Weighted median",28,0.00124350049296431,0.00441110379058009,0.77801839305814,-0.00740226293657268,0.00988926392250129,1.00124427396027,0.992625066337319,1.00993832428322
